subject_id,trial_num,scenario_id,partner_status,time,partner_choice,participant_choice,coordination,passed_attention_checks
f1789d9981aa68c93825e5e0848ee301,1,gift,higher,first,receive,receive,FALSE,2
f1789d9981aa68c93825e5e0848ee301,2,task checking,higher,first,give,receive,TRUE,2
f1789d9981aa68c93825e5e0848ee301,3,object carrying,equal,first,receive,give,TRUE,2
f1789d9981aa68c93825e5e0848ee301,4,object carrying,equal,second,give,receive,TRUE,2
f1789d9981aa68c93825e5e0848ee301,5,song preference,lower,first,give,receive,TRUE,2
f1789d9981aa68c93825e5e0848ee301,6,meal,lower,first,receive,receive,FALSE,2
f1789d9981aa68c93825e5e0848ee301,7,task checking,higher,second,give,receive,TRUE,2
f1789d9981aa68c93825e5e0848ee301,8,meal,lower,second,receive,receive,FALSE,2
f1789d9981aa68c93825e5e0848ee301,9,gift,higher,second,receive,receive,FALSE,2
f1789d9981aa68c93825e5e0848ee301,10,meeting place,equal,first,give,give,FALSE,2
f1789d9981aa68c93825e5e0848ee301,11,song preference,lower,second,give,give,FALSE,2
f1789d9981aa68c93825e5e0848ee301,12,meeting place,equal,second,receive,receive,FALSE,2
ddfe0747f25b3a63ac05804463865a91,1,meal,lower,first,give,receive,TRUE,2
ddfe0747f25b3a63ac05804463865a91,2,gift,higher,first,give,give,FALSE,2
ddfe0747f25b3a63ac05804463865a91,3,object carrying,equal,first,give,give,FALSE,2
ddfe0747f25b3a63ac05804463865a91,4,task checking,equal,first,receive,give,TRUE,2
ddfe0747f25b3a63ac05804463865a91,5,meal,lower,second,give,give,FALSE,2
ddfe0747f25b3a63ac05804463865a91,6,song preference,lower,first,receive,receive,FALSE,2
ddfe0747f25b3a63ac05804463865a91,7,task checking,equal,second,give,give,FALSE,2
ddfe0747f25b3a63ac05804463865a91,8,meeting place,higher,first,receive,give,TRUE,2
ddfe0747f25b3a63ac05804463865a91,9,object carrying,equal,second,receive,give,TRUE,2
ddfe0747f25b3a63ac05804463865a91,10,song preference,lower,second,receive,receive,FALSE,2
ddfe0747f25b3a63ac05804463865a91,11,gift,higher,second,give,give,FALSE,2
ddfe0747f25b3a63ac05804463865a91,12,meeting place,higher,second,receive,give,TRUE,2
43dceb38823aa3a7322a8519579d8bd0,1,object carrying,higher,first,give,give,FALSE,2
43dceb38823aa3a7322a8519579d8bd0,2,gift,lower,first,receive,give,TRUE,2
