"subject_id","story","relationship","next_interaction","likert_rating"
"259fe299eca9604247186bf825e84bad","family meals","asymmetric","repeating",4
"259fe299eca9604247186bf825e84bad","family meals","asymmetric","alternating",4
"259fe299eca9604247186bf825e84bad","family meals","asymmetric","none",2
"259fe299eca9604247186bf825e84bad","babysitting","no_info","repeating",5
"259fe299eca9604247186bf825e84bad","babysitting","no_info","alternating",5
"259fe299eca9604247186bf825e84bad","babysitting","no_info","none",2
"259fe299eca9604247186bf825e84bad","conversation","asymmetric","repeating",4
"259fe299eca9604247186bf825e84bad","conversation","asymmetric","alternating",4
"259fe299eca9604247186bf825e84bad","conversation","asymmetric","none",NA
"259fe299eca9604247186bf825e84bad","meeting location","symmetric","repeating",4
"259fe299eca9604247186bf825e84bad","meeting location","symmetric","alternating",4
"259fe299eca9604247186bf825e84bad","meeting location","symmetric","none",2
"259fe299eca9604247186bf825e84bad","gifts","asymmetric","repeating",5
"259fe299eca9604247186bf825e84bad","gifts","asymmetric","alternating",3
"259fe299eca9604247186bf825e84bad","gifts","asymmetric","none",4
"259fe299eca9604247186bf825e84bad","coffee","asymmetric","repeating",5
"259fe299eca9604247186bf825e84bad","coffee","asymmetric","alternating",5
"259fe299eca9604247186bf825e84bad","coffee","asymmetric","none",3
"bc772ac88cc663a0cafaa7c9be64b4ed","restaurant","symmetric","repeating",3
"bc772ac88cc663a0cafaa7c9be64b4ed","restaurant","symmetric","alternating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","restaurant","symmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","concerts","asymmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","concerts","asymmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","concerts","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","weekend","symmetric","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","weekend","symmetric","alternating",3
"bc772ac88cc663a0cafaa7c9be64b4ed","weekend","symmetric","none",3
"bc772ac88cc663a0cafaa7c9be64b4ed","fundraising","symmetric","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","fundraising","symmetric","alternating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","fundraising","symmetric","none",3
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting location","asymmetric","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting location","asymmetric","alternating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting location","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","family meals","no_info","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","family meals","no_info","alternating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","family meals","no_info","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","scheduling","symmetric","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","scheduling","symmetric","alternating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","scheduling","symmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","conversation","no_info","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","conversation","no_info","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","conversation","no_info","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting prep","asymmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting prep","asymmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","meeting prep","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","feedback","asymmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","feedback","asymmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","feedback","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","police","no_info","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","police","no_info","alternating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","police","no_info","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","housemates","no_info","repeating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","housemates","no_info","alternating",5
"bc772ac88cc663a0cafaa7c9be64b4ed","housemates","no_info","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","groceries","asymmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","groceries","asymmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","groceries","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","coffee","no_info","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","coffee","no_info","alternating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","coffee","no_info","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","gifts","no_info","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","gifts","no_info","alternating",4
"bc772ac88cc663a0cafaa7c9be64b4ed","gifts","no_info","none",3
"bc772ac88cc663a0cafaa7c9be64b4ed","architects","symmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","architects","symmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","architects","symmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","group project","asymmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","group project","asymmetric","alternating",2
"bc772ac88cc663a0cafaa7c9be64b4ed","group project","asymmetric","none",2
"bc772ac88cc663a0cafaa7c9be64b4ed","babysitting","symmetric","repeating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","babysitting","symmetric","alternating",6
"bc772ac88cc663a0cafaa7c9be64b4ed","babysitting","symmetric","none",2
"d72c72fa86a57295a860e37b998e187b","gifts","asymmetric","repeating",4
"d72c72fa86a57295a860e37b998e187b","gifts","asymmetric","alternating",4
