subject_id,story,relationship,next_interaction,likert_rating,normalized_likert_rating,n_benefit,n_effort,diff_benefit,diff_effort,ci_lower_benefit,ci_lower_effort,ci_upper_benefit,ci_upper_effort,mean_benefit,mean_effort
524c1b16f40c278b4f668eae7cedcb80,gifts,Lower,Precedent,6,0.4,58,59,3.29824561403509,3.64406779661017,2.52916666666667,3.0398064516129,3.89708133253301,4.24492305118769,3.29321955269169,3.65201558678049
524c1b16f40c278b4f668eae7cedcb80,gifts,Lower,Reciprocity,7,0.4666666666666667,58,59,3.29824561403509,3.64406779661017,2.52916666666667,3.0398064516129,3.89708133253301,4.24492305118769,3.29321955269169,3.65201558678049
524c1b16f40c278b4f668eae7cedcb80,gifts,Lower,None,2,0.13333333333333333,58,59,3.29824561403509,3.64406779661017,2.52916666666667,3.0398064516129,3.89708133253301,4.24492305118769,3.29321955269169,3.65201558678049
524c1b16f40c278b4f668eae7cedcb80,meeting location,Higher,Precedent,7,0.6363636363636364,58,59,0.410714285714286,1.16949152542373,0.038425925925926,0.859876811594203,0.776108374384236,1.48493657505285,0.409741793816815,1.17040217283831
524c1b16f40c278b4f668eae7cedcb80,meeting location,Higher,Reciprocity,3,0.2727272727272727,58,59,0.410714285714286,1.16949152542373,0.038425925925926,0.859876811594203,0.776108374384236,1.48493657505285,0.409741793816815,1.17040217283831
524c1b16f40c278b4f668eae7cedcb80,meeting location,Higher,None,1,0.09090909090909091,58,59,0.410714285714286,1.16949152542373,0.038425925925926,0.859876811594203,0.776108374384236,1.48493657505285,0.409741793816815,1.17040217283831
524c1b16f40c278b4f668eae7cedcb80,weekend,Lower,Precedent,6,0.42857142857142855,58,59,1.78947368421053,1.79310344827586,1.17989189189189,1.29045454545455,2.40444305381727,2.27660392798691,1.78386167787986,1.79563794441506
524c1b16f40c278b4f668eae7cedcb80,weekend,Lower,Reciprocity,3,0.21428571428571427,58,59,1.78947368421053,1.79310344827586,1.17989189189189,1.29045454545455,2.40444305381727,2.27660392798691,1.78386167787986,1.79563794441506
524c1b16f40c278b4f668eae7cedcb80,weekend,Lower,None,5,0.35714285714285715,58,59,1.78947368421053,1.79310344827586,1.17989189189189,1.29045454545455,2.40444305381727,2.27660392798691,1.78386167787986,1.79563794441506
524c1b16f40c278b4f668eae7cedcb80,concerts,Higher,Precedent,3,0.25,58,59,2.73214285714286,2.47457627118644,2.24968220338983,2.07839366515837,3.22505681818182,2.8611217948718,2.74220814790093,2.46194384996686
524c1b16f40c278b4f668eae7cedcb80,concerts,Higher,Reciprocity,7,0.5833333333333334,58,59,2.73214285714286,2.47457627118644,2.24968220338983,2.07839366515837,3.22505681818182,2.8611217948718,2.74220814790093,2.46194384996686
524c1b16f40c278b4f668eae7cedcb80,concerts,Higher,None,2,0.16666666666666666,58,59,2.73214285714286,2.47457627118644,2.24968220338983,2.07839366515837,3.22505681818182,2.8611217948718,2.74220814790093,2.46194384996686
524c1b16f40c278b4f668eae7cedcb80,police,Higher,Precedent,6,0.6,58,59,3.17241379310345,2.71186440677966,2.5733216112532,2.125,3.79195696721311,3.26785714285714,3.18140448882506,2.7154951245473
524c1b16f40c278b4f668eae7cedcb80,police,Higher,Reciprocity,3,0.3,58,59,3.17241379310345,2.71186440677966,2.5733216112532,2.125,3.79195696721311,3.26785714285714,3.18140448882506,2.7154951245473
524c1b16f40c278b4f668eae7cedcb80,police,Higher,None,1,0.1,58,59,3.17241379310345,2.71186440677966,2.5733216112532,2.125,3.79195696721311,3.26785714285714,3.18140448882506,2.7154951245473
524c1b16f40c278b4f668eae7cedcb80,group project,Higher,Precedent,7,0.7777777777777778,58,59,-0.172413793103448,1.79661016949153,-0.756262918561389,1.25975,0.411102166276346,2.32474809673085,-0.178758548275462,1.80453175088784
524c1b16f40c278b4f668eae7cedcb80,group project,Higher,Reciprocity,1,0.1111111111111111,58,59,-0.172413793103448,1.79661016949153,-0.756262918561389,1.25975,0.411102166276346,2.32474809673085,-0.178758548275462,1.80453175088784
524c1b16f40c278b4f668eae7cedcb80,group project,Higher,None,1,0.1111111111111111,58,59,-0.172413793103448,1.79661016949153,-0.756262918561389,1.25975,0.411102166276346,2.32474809673085,-0.178758548275462,1.80453175088784
524c1b16f40c278b4f668eae7cedcb80,housemates,Lower,Precedent,6,0.46153846153846156,58,59,1.05263157894737,1.91525423728814,0.644037530266344,1.43694711538462,1.47830434782609,2.3703853046595,1.05086204998611,1.899981276862
524c1b16f40c278b4f668eae7cedcb80,housemates,Lower,Reciprocity,3,0.23076923076923078,58,59,1.05263157894737,1.91525423728814,0.644037530266344,1.43694711538462,1.47830434782609,2.3703853046595,1.05086204998611,1.899981276862
524c1b16f40c278b4f668eae7cedcb80,housemates,Lower,None,4,0.3076923076923077,58,59,1.05263157894737,1.91525423728814,0.644037530266344,1.43694711538462,1.47830434782609,2.3703853046595,1.05086204998611,1.899981276862
524c1b16f40c278b4f668eae7cedcb80,conversation,Lower,Precedent,5,0.38461538461538464,58,59,0.879310344827586,-0.11864406779661,0.39211856617647,-0.571595982142857,1.32157467532468,0.242517482517483,0.870750009909956,-0.123137175572511
524c1b16f40c278b4f668eae7cedcb80,conversation,Lower,Reciprocity,6,0.46153846153846156,58,59,0.879310344827586,-0.11864406779661,0.39211856617647,-0.571595982142857,1.32157467532468,0.242517482517483,0.870750009909956,-0.123137175572511
524c1b16f40c278b4f668eae7cedcb80,conversation,Lower,None,2,0.15384615384615385,58,59,0.879310344827586,-0.11864406779661,0.39211856617647,-0.571595982142857,1.32157467532468,0.242517482517483,0.870750009909956,-0.123137175572511
