subject_id,trial_num,scenario_id,partner_status,time,partner_choice,participant_choice,coordination,passed_attention_checks
9ff9ad628fa015fb3da0b73e6c86c59e,1,task checking,higher,first,receive,receive,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,2,object carrying,equal,first,give,give,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,3,object carrying,equal,second,receive,receive,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,4,meal,higher,first,give,give,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,5,gift,lower,first,receive,give,TRUE,2
9ff9ad628fa015fb3da0b73e6c86c59e,6,meal,higher,second,give,receive,TRUE,2
9ff9ad628fa015fb3da0b73e6c86c59e,7,task checking,higher,second,receive,give,TRUE,2
9ff9ad628fa015fb3da0b73e6c86c59e,8,gift,lower,second,receive,give,TRUE,2
9ff9ad628fa015fb3da0b73e6c86c59e,9,meeting place,lower,first,give,give,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,10,song preference,equal,first,receive,give,TRUE,2
9ff9ad628fa015fb3da0b73e6c86c59e,11,song preference,equal,second,give,give,FALSE,2
9ff9ad628fa015fb3da0b73e6c86c59e,12,meeting place,lower,second,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,1,object carrying,equal,first,give,give,FALSE,2
c225fdc0c892163e036a6b1e59f385de,2,meal,equal,first,receive,give,TRUE,2
c225fdc0c892163e036a6b1e59f385de,3,meeting place,higher,first,receive,give,TRUE,2
c225fdc0c892163e036a6b1e59f385de,4,meal,equal,second,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,5,song preference,lower,first,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,6,song preference,lower,second,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,7,gift,lower,first,receive,give,TRUE,2
c225fdc0c892163e036a6b1e59f385de,8,task checking,higher,first,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,9,task checking,higher,second,give,receive,TRUE,2
c225fdc0c892163e036a6b1e59f385de,10,object carrying,equal,second,receive,give,TRUE,2
c225fdc0c892163e036a6b1e59f385de,11,meeting place,higher,second,receive,give,TRUE,2
c225fdc0c892163e036a6b1e59f385de,12,gift,lower,second,receive,give,TRUE,2
2a5d97bb20320cd8023f477f2ca30148,1,gift,lower,first,give,give,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,2,song preference,equal,first,give,give,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,3,gift,lower,second,give,receive,TRUE,1
2a5d97bb20320cd8023f477f2ca30148,4,song preference,equal,second,receive,receive,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,5,object carrying,lower,first,receive,receive,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,6,meal,higher,first,give,receive,TRUE,1
2a5d97bb20320cd8023f477f2ca30148,7,meal,higher,second,give,receive,TRUE,1
2a5d97bb20320cd8023f477f2ca30148,8,meeting place,equal,first,receive,receive,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,9,meeting place,equal,second,give,give,FALSE,1
2a5d97bb20320cd8023f477f2ca30148,10,object carrying,lower,second,receive,give,TRUE,1
2a5d97bb20320cd8023f477f2ca30148,11,task checking,higher,first,receive,give,TRUE,1
2a5d97bb20320cd8023f477f2ca30148,12,task checking,higher,second,receive,give,TRUE,1
1af8f9b1fd72c68243329413da663cec,1,song preference,equal,first,give,give,FALSE,1
1af8f9b1fd72c68243329413da663cec,2,gift,equal,first,receive,give,TRUE,1
1af8f9b1fd72c68243329413da663cec,3,task checking,higher,first,receive,receive,FALSE,1
1af8f9b1fd72c68243329413da663cec,4,song preference,equal,second,receive,receive,FALSE,1
1af8f9b1fd72c68243329413da663cec,5,meeting place,lower,first,receive,give,TRUE,1
1af8f9b1fd72c68243329413da663cec,6,object carrying,lower,first,give,receive,TRUE,1
1af8f9b1fd72c68243329413da663cec,7,meal,higher,first,give,give,FALSE,1
1af8f9b1fd72c68243329413da663cec,8,meal,higher,second,give,receive,TRUE,1
1af8f9b1fd72c68243329413da663cec,9,object carrying,lower,second,give,receive,TRUE,1
1af8f9b1fd72c68243329413da663cec,10,gift,equal,second,give,give,FALSE,1
1af8f9b1fd72c68243329413da663cec,11,task checking,higher,second,receive,receive,FALSE,1
1af8f9b1fd72c68243329413da663cec,12,meeting place,lower,second,receive,give,TRUE,1
f9ee3f0de717032a2fd738c1fbab007b,1,gift,higher,first,give,give,FALSE,2
f9ee3f0de717032a2fd738c1fbab007b,2,object carrying,equal,first,give,give,FALSE,2
f9ee3f0de717032a2fd738c1fbab007b,3,task checking,lower,first,give,receive,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,4,gift,higher,second,give,receive,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,5,meal,equal,first,receive,receive,FALSE,2
f9ee3f0de717032a2fd738c1fbab007b,6,meal,equal,second,give,receive,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,7,object carrying,equal,second,receive,receive,FALSE,2
f9ee3f0de717032a2fd738c1fbab007b,8,task checking,lower,second,give,receive,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,9,song preference,higher,first,receive,give,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,10,song preference,higher,second,receive,give,TRUE,2
f9ee3f0de717032a2fd738c1fbab007b,11,meeting place,lower,first,receive,receive,FALSE,2
f9ee3f0de717032a2fd738c1fbab007b,12,meeting place,lower,second,receive,receive,FALSE,2
d52bd40d3d5a7d7d0e0a40097ae76559,1,gift,lower,first,give,receive,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,2,task checking,equal,first,give,give,FALSE,0
d52bd40d3d5a7d7d0e0a40097ae76559,3,task checking,equal,second,receive,receive,FALSE,0
d52bd40d3d5a7d7d0e0a40097ae76559,4,meal,equal,first,receive,give,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,5,object carrying,lower,first,receive,give,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,6,song preference,higher,first,receive,receive,FALSE,0
d52bd40d3d5a7d7d0e0a40097ae76559,7,meeting place,higher,first,give,give,FALSE,0
d52bd40d3d5a7d7d0e0a40097ae76559,8,object carrying,lower,second,receive,give,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,9,meeting place,higher,second,give,receive,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,10,gift,lower,second,give,give,FALSE,0
d52bd40d3d5a7d7d0e0a40097ae76559,11,song preference,higher,second,receive,give,TRUE,0
d52bd40d3d5a7d7d0e0a40097ae76559,12,meal,equal,second,give,receive,TRUE,0
81c55c3e18f218345d28f6a1300487f9,1,gift,equal,first,receive,receive,FALSE,2
81c55c3e18f218345d28f6a1300487f9,2,meeting place,lower,first,give,receive,TRUE,2
81c55c3e18f218345d28f6a1300487f9,3,meal,higher,first,receive,give,TRUE,2
81c55c3e18f218345d28f6a1300487f9,4,song preference,higher,first,give,receive,TRUE,2
81c55c3e18f218345d28f6a1300487f9,5,meeting place,lower,second,give,give,FALSE,2
81c55c3e18f218345d28f6a1300487f9,6,object carrying,equal,first,give,give,FALSE,2
81c55c3e18f218345d28f6a1300487f9,7,object carrying,equal,second,receive,receive,FALSE,2
81c55c3e18f218345d28f6a1300487f9,8,song preference,higher,second,give,give,FALSE,2
81c55c3e18f218345d28f6a1300487f9,9,meal,higher,second,receive,give,TRUE,2
81c55c3e18f218345d28f6a1300487f9,10,gift,equal,second,give,receive,TRUE,2
81c55c3e18f218345d28f6a1300487f9,11,task checking,lower,first,receive,give,TRUE,2
81c55c3e18f218345d28f6a1300487f9,12,task checking,lower,second,receive,receive,FALSE,2
44d36d6744ac7050965d7fd145168f88,1,meal,higher,first,give,receive,TRUE,1
44d36d6744ac7050965d7fd145168f88,2,task checking,lower,first,receive,receive,FALSE,1
44d36d6744ac7050965d7fd145168f88,3,task checking,lower,second,receive,give,TRUE,1
44d36d6744ac7050965d7fd145168f88,4,object carrying,equal,first,give,receive,TRUE,1
44d36d6744ac7050965d7fd145168f88,5,gift,equal,first,receive,give,TRUE,1
44d36d6744ac7050965d7fd145168f88,6,meal,higher,second,give,give,FALSE,1
44d36d6744ac7050965d7fd145168f88,7,object carrying,equal,second,receive,give,TRUE,1
44d36d6744ac7050965d7fd145168f88,8,meeting place,higher,first,receive,give,TRUE,1
44d36d6744ac7050965d7fd145168f88,9,song preference,lower,first,give,receive,TRUE,1
44d36d6744ac7050965d7fd145168f88,10,song preference,lower,second,give,receive,TRUE,1
44d36d6744ac7050965d7fd145168f88,11,gift,equal,second,give,give,FALSE,1
44d36d6744ac7050965d7fd145168f88,12,meeting place,higher,second,receive,receive,FALSE,1
c7ad441ca72e1ed677f2d6dca8c6401d,1,meeting place,higher,first,receive,give,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,2,meal,lower,first,receive,give,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,3,gift,lower,first,give,give,FALSE,2
c7ad441ca72e1ed677f2d6dca8c6401d,4,object carrying,equal,first,receive,receive,FALSE,2
c7ad441ca72e1ed677f2d6dca8c6401d,5,meeting place,higher,second,receive,give,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,6,meal,lower,second,receive,give,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,7,gift,lower,second,give,receive,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,8,object carrying,equal,second,give,give,FALSE,2
c7ad441ca72e1ed677f2d6dca8c6401d,9,task checking,equal,first,give,give,FALSE,2
c7ad441ca72e1ed677f2d6dca8c6401d,10,task checking,equal,second,receive,give,TRUE,2
c7ad441ca72e1ed677f2d6dca8c6401d,11,song preference,higher,first,give,give,FALSE,2
c7ad441ca72e1ed677f2d6dca8c6401d,12,song preference,higher,second,give,receive,TRUE,2
badf6eb7a667093d7f00916e40c66835,1,gift,equal,first,give,give,FALSE,2
badf6eb7a667093d7f00916e40c66835,2,meal,lower,first,give,receive,TRUE,2
badf6eb7a667093d7f00916e40c66835,3,meal,lower,second,give,receive,TRUE,2
badf6eb7a667093d7f00916e40c66835,4,song preference,lower,first,receive,receive,FALSE,2
badf6eb7a667093d7f00916e40c66835,5,task checking,equal,first,receive,give,TRUE,2
badf6eb7a667093d7f00916e40c66835,6,meeting place,higher,first,give,give,FALSE,2
badf6eb7a667093d7f00916e40c66835,7,song preference,lower,second,receive,give,TRUE,2
badf6eb7a667093d7f00916e40c66835,8,object carrying,higher,first,receive,give,TRUE,2
badf6eb7a667093d7f00916e40c66835,9,gift,equal,second,receive,receive,FALSE,2
badf6eb7a667093d7f00916e40c66835,10,task checking,equal,second,give,give,FALSE,2
badf6eb7a667093d7f00916e40c66835,11,object carrying,higher,second,receive,give,TRUE,2
badf6eb7a667093d7f00916e40c66835,12,meeting place,higher,second,give,receive,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,1,gift,equal,first,receive,give,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,2,meal,lower,first,receive,receive,FALSE,2
52f6dcd2bf9c7d2d0e423ffec470670b,3,meal,lower,second,receive,receive,FALSE,2
52f6dcd2bf9c7d2d0e423ffec470670b,4,meeting place,higher,first,give,receive,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,5,object carrying,lower,first,give,give,FALSE,2
52f6dcd2bf9c7d2d0e423ffec470670b,6,meeting place,higher,second,give,give,FALSE,2
52f6dcd2bf9c7d2d0e423ffec470670b,7,gift,equal,second,give,receive,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,8,task checking,higher,first,receive,give,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,9,song preference,equal,first,give,receive,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,10,song preference,equal,second,receive,give,TRUE,2
52f6dcd2bf9c7d2d0e423ffec470670b,11,object carrying,lower,second,give,give,FALSE,2
52f6dcd2bf9c7d2d0e423ffec470670b,12,task checking,higher,second,receive,give,TRUE,2
ffb9ea385add6ebedab2764b9f137d0a,1,gift,higher,first,give,give,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,2,meal,lower,first,receive,receive,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,3,object carrying,higher,first,receive,receive,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,4,gift,higher,second,give,receive,TRUE,1
ffb9ea385add6ebedab2764b9f137d0a,5,meal,lower,second,receive,give,TRUE,1
ffb9ea385add6ebedab2764b9f137d0a,6,meeting place,equal,first,receive,give,TRUE,1
ffb9ea385add6ebedab2764b9f137d0a,7,meeting place,equal,second,give,receive,TRUE,1
ffb9ea385add6ebedab2764b9f137d0a,8,object carrying,higher,second,receive,receive,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,9,task checking,equal,first,give,give,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,10,task checking,equal,second,receive,give,TRUE,1
ffb9ea385add6ebedab2764b9f137d0a,11,song preference,lower,first,give,give,FALSE,1
ffb9ea385add6ebedab2764b9f137d0a,12,song preference,lower,second,give,receive,TRUE,1
9a2b7d6d4a8d0d581667c30146b8af25,1,task checking,higher,first,give,receive,TRUE,2
9a2b7d6d4a8d0d581667c30146b8af25,2,gift,higher,first,receive,give,TRUE,2
9a2b7d6d4a8d0d581667c30146b8af25,3,meeting place,lower,first,give,receive,TRUE,2
9a2b7d6d4a8d0d581667c30146b8af25,4,meal,lower,first,receive,receive,FALSE,2
